epoch,train_loss,train_acc,val_loss,val_acc,val_f1_pos,val_thr_best
1,0.6845942979677901,0.5732546705998034,0.6587812145551045,0.6481481481481481,0.532319391634981,0.3025
2,0.6703020760521503,0.6040642412323828,0.6396365170125609,0.65,0.5415860735009671,0.3425
3,0.6632776586433505,0.6279908226810882,0.6473334895239936,0.6296296296296297,0.5476190476190477,0.38
4,0.6495509934948922,0.63913470993117,0.6475931361869529,0.5981481481481481,0.5504587155963303,0.4
5,0.6466860521117104,0.6515896427400852,0.6343357218636407,0.6296296296296297,0.5533596837944664,0.3325
6,0.6366559305139464,0.6610947230416256,0.6339738572085345,0.6407407407407407,0.5555555555555556,0.24
7,0.6388113458052653,0.644706653556211,0.6502977375630979,0.6240740740740741,0.5544933078393881,0.435
8,0.6294730543230682,0.666994428056375,0.6212206990630539,0.662962962962963,0.5535714285714286,0.2425
9,0.6300648784918771,0.6601114388725008,0.644979946260099,0.6314814814814815,0.542528735632184,0.5
10,0.6257747618224495,0.6581448705342511,0.6491444561216566,0.6074074074074074,0.5683060109289617,0.3875
11,0.6170598294491926,0.6640445755490003,0.6162135707007514,0.6648148148148149,0.55,0.2475
12,0.6254561329935074,0.6686332350049164,0.6299832617795026,0.6388888888888888,0.5664739884393064,0.4425
13,0.6152563256460969,0.6696165191740413,0.7087483670976427,0.4888888888888889,0.56575682382134,0.635
14,0.6162101586542533,0.6807604064241233,0.6811328497197893,0.5222222222222223,0.5891472868217055,0.62
15,0.6166343694825674,0.672566371681416,0.6365692443317837,0.6722222222222223,0.6101010101010101,0.46
16,0.6202527749581401,0.6689609963946247,0.6319206409984165,0.6388888888888888,0.561122244488978,0.35000000000000003
17,0.6093271111160449,0.682726974762373,0.6420561938374131,0.6092592592592593,0.5949367088607594,0.5125
18,0.606429273946994,0.6807604064241233,0.6037646306885613,0.6796296296296296,0.5798165137614679,0.3075
19,0.601859099608646,0.6860045886594559,0.6672833056361587,0.5592592592592592,0.5874439461883408,0.5575
20,0.6036310821664174,0.6833824975417896,0.6416998863220215,0.5981481481481481,0.5836575875486382,0.4875
