epoch,train_loss,train_acc,val_loss,val_acc,val_f1_pos,val_thr_best
1,0.6822814929098506,0.5807931825630941,0.6516978356573316,0.6611111111111111,0.5433526011560693,0.4425
2,0.6706477594117733,0.5899705014749262,0.7364315666534282,0.4203703703703704,0.5444234404536862,0.5725
3,0.6592491348623565,0.6099639462471321,0.6623169307355528,0.6759259259259259,0.5400372439478585,0.185
4,0.6596357011279291,0.6204523107177975,0.6274351292186313,0.6277777777777778,0.5633270321361059,0.445
5,0.6467954712748645,0.6509341199606686,0.6061735192934672,0.6944444444444444,0.5476603119584056,0.28500000000000003
6,0.6342510520063904,0.6463454605047525,0.7674067934354146,0.4388888888888889,0.5982142857142857,0.655
7,0.6302555933697268,0.666994428056375,0.5909461935361227,0.7537037037037037,0.6045197740112994,0.47250000000000003
8,0.6192554718976879,0.6732218944608325,0.5748292101754082,0.7240740740740741,0.6127167630057804,0.5125
9,0.6174733249604292,0.677155031137332,0.5780806523782236,0.75,0.5825242718446602,0.355
10,0.6171037126509568,0.6755162241887905,0.5626993744461625,0.7555555555555555,0.6126126126126126,0.3575
11,0.5969703611449233,0.6856768272697477,0.6121682855818007,0.7148148148148148,0.5863453815261044,0.18
12,0.592083425941486,0.6974762372992461,0.6895589965361136,0.55,0.6378132118451025,0.65
13,0.5904922871189562,0.6958374303507047,0.5901196186189298,0.6555555555555556,0.6179775280898876,0.595
14,0.5857628810526855,0.6981317600786627,0.5455417134143689,0.7592592592592593,0.6075268817204301,0.425
15,0.5813263256367759,0.7066535562110783,0.5965956021238257,0.65,0.6426426426426426,0.66
16,0.5755038726568144,0.7099311701081613,0.5502181697774816,0.7129629629629629,0.6331360946745562,0.5775
17,0.5800994532063765,0.7105866928875778,0.5564755395606712,0.7666666666666667,0.6009174311926605,0.2625
18,0.575994893766864,0.7148475909537857,0.6279266940222846,0.6055555555555555,0.658753709198813,0.7225
19,0.569694518320133,0.7148475909537857,0.5278705053859287,0.7666666666666667,0.65,0.4475
20,0.5719287500190797,0.7194362504097017,0.5319415701760186,0.7592592592592593,0.6824925816023739,0.56
